strategy,instrument,old_verdict,new_verdict,dsr,pf,win_rate,max_dd_usd,n_trades,both_halves,p_value,dsr_waiver,old_failures,new_failures,changed
gap_fill_gc,,FAIL,FAIL,-5.256,0.728,0.423,615.46,548,False,0.9898784108497095,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-5.256)|pf(0.728)|p(0.99)|both_halves|mean_pnl(-1.00356),False
ecb_drift_zn,,FAIL,FAIL,-5.281,0.24,0.25,5.99,48,False,0.9966699297215748,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-5.281)|pf(0.240)|p(1)|both_halves|mean_pnl(-0.12154),False
bollinger_rsi_zb,,FAIL,FAIL,-5.505,0.555,0.333,451.08,7568,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-5.505)|pf(0.555)|p(1)|both_halves|mean_pnl(-0.05941),False
rsi_meanrev_mbt,,FAIL,FAIL,-5.537,0.6,0.541,32328.88,342,False,0.9999817359587428,False,dsr|profit_factor|max_drawdown_usd|p_value|both_halves|mean_pnl_positive,"dsr(-5.537)|pf(0.600)|max_dd($32,329)|p(1)|both_halves|mean_pnl(-91.06762)",False
overnight_drift_zb,,FAIL,FAIL,-5.619,0.221,0.183,225.4,3024,False,1.0,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-5.619)|pf(0.221)|p(1)|both_halves|mean_pnl(-0.07458),False
tsm_si,,FAIL,FAIL,-5.667,0.304,0.295,56.24,61,False,0.9994756685771367,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-5.667)|pf(0.304)|p(1)|both_halves|mean_pnl(-0.81018),False
orb_es,,FAIL,FAIL,-5.807,0.847,0.472,4233.53,2975,False,0.9968919721636931,False,dsr|profit_factor|max_drawdown_usd|p_value|both_halves|mean_pnl_positive,"dsr(-5.807)|pf(0.847)|max_dd($4,234)|p(1)|both_halves|mean_pnl(-1.40607)",False
gap_fill_fxb,,FAIL,FAIL,-5.85,0.649,0.378,0.25,381,False,0.9985083844348781,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-5.850)|pf(0.649)|p(1)|both_halves|mean_pnl(-0.00064),False
gap_fill_fxe,,FAIL,FAIL,-5.9,0.657,0.444,0.21,378,False,0.99842143317171,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-5.900)|pf(0.657)|p(1)|both_halves|mean_pnl(-0.00049),False
pivot_reaction_es,,FAIL,FAIL,-6.055,0.846,0.414,2085.44,3591,False,0.9999457426961497,False,dsr|profit_factor|max_drawdown_usd|p_value|both_halves|mean_pnl_positive,"dsr(-6.055)|pf(0.846)|max_dd($2,085)|p(1)|both_halves|mean_pnl(-0.49168)",False
pivot_reaction_fxb,,FAIL,FAIL,-6.153,0.631,0.502,0.3,1082,False,0.9999998469619201,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-6.153)|pf(0.631)|p(1)|both_halves|mean_pnl(-0.00023),False
rsi_meanrev_gc,,FAIL,FAIL,-6.198,0.7,0.561,476.52,802,False,0.9999032802694899,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-6.198)|pf(0.700)|p(1)|both_halves|mean_pnl(-0.56028),False
gap_fill_zb,,FAIL,FAIL,-6.741,0.577,0.384,53.56,443,False,0.9999707631023207,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-6.741)|pf(0.577)|p(1)|both_halves|mean_pnl(-0.11836),False
pivot_reaction_fxe,,FAIL,FAIL,-6.747,0.627,0.486,0.34,1307,False,0.9999999473202575,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-6.747)|pf(0.627)|p(1)|both_halves|mean_pnl(-0.00020),False
camarilla_breakout_fxb,,FAIL,FAIL,-7.009,0.791,0.378,0.46,2393,False,0.999999522341016,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-7.009)|pf(0.791)|p(1)|both_halves|mean_pnl(-0.00019),False
overnight_fade_es,,FAIL,FAIL,-7.103,0.439,0.382,300.22,212,False,0.9999809043625186,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-7.103)|pf(0.439)|p(1)|both_halves|mean_pnl(-1.38465),False
orb_fxj,,FAIL,FAIL,-7.235,0.749,0.442,0.0,2104,False,0.9999934347734586,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-7.235)|pf(0.749)|p(1)|both_halves|mean_pnl(-0.00000),False
camarilla_breakout_cl,,FAIL,FAIL,-7.532,0.755,0.343,76.42,2396,False,0.9999999959341989,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-7.532)|pf(0.755)|p(1)|both_halves|mean_pnl(-0.03180),False
gap_fill_zn,,FAIL,FAIL,-8.167,0.6,0.392,39.25,842,False,0.9999999188931873,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-8.167)|pf(0.600)|p(1)|both_halves|mean_pnl(-0.04612),False
round_number_gc,,FAIL,FAIL,-8.261,0.46,0.507,293.76,339,False,0.9999999365080803,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-8.261)|pf(0.460)|p(1)|both_halves|mean_pnl(-0.85500),False
orb_fxb,,FAIL,FAIL,-8.518,0.701,0.442,1.04,2064,False,0.9999999906734377,False,dsr|profit_factor|p_value|both_halves|mean_pnl_positive,dsr(-8.518)|pf(0.701)|p(1)|both_halves|mean_pnl(-0.00050),False
