strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
MultiTF_OFI,GC,"{""trend_window"": 40, ""entry_pct"": 75, ""rr_ratio"": 2.0, ""hold_bars"": 5}",10908,0.4157,170003.0,316.0,-198.19,1.135,1.4153,0.3702,29886.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 3, ""rr_ratio"": 1.5, ""hold_bars"": 10}",3967,0.4391,40619.25,415.6,-307.13,1.059,0.5136,0.3691,60567.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 3, ""rr_ratio"": 1.5, ""hold_bars"": 10}",4900,0.4388,27139.17,384.76,-290.94,1.034,0.318,0.3611,74361.0
OFI_Continuation,GC,"{""ofi_pct"": 90, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",2606,0.411,17599.0,323.05,-213.93,1.054,0.4956,0.3597,29020.5
Repeated_Replenishment,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 1.5, ""hold_bars"": 12}",2961,0.4522,37796.0,391.61,-299.98,1.078,0.7212,0.3553,20466.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 5, ""rr_ratio"": 1.5, ""hold_bars"": 10}",4015,0.4421,32898.22,395.24,-298.51,1.049,0.4414,0.3545,53734.0
OFI_Reversal,GC,"{""ofi_pct"": 95, ""body_fraction"": 0.2, ""rr_ratio"": 2.0, ""hold_bars"": 10}",5733,0.3893,39243.5,395.83,-241.14,1.046,0.4708,0.352,32820.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 1.5, ""hold_bars"": 8}",3027,0.4562,41426.5,372.31,-287.2,1.088,0.808,0.3517,16378.5
Absorption_Reversal,GC,"{""abs_pct"": 80, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 12}",11840,0.3992,156409.0,355.19,-213.97,1.103,1.1074,0.3428,31537.5
CVD_VWAP,GC,"{""vwap_band"": 0.25, ""cvd_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 8}",2976,0.453,30251.5,382.48,-298.12,1.062,0.434,0.3406,14866.0
Absorption_Reversal,GC,"{""abs_pct"": 90, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 12}",8833,0.3979,151774.5,379.67,-222.41,1.128,1.2691,0.3404,19981.0
