======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['GC']  Strategies: 16
======================================================================
[GC] Primary bars: 77,270 rows
[GC] 77,270 bars ready. L2 cols present: 17/17

  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-0.953  pnl=$    -662
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-1.690  pnl=$  -1,188
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=+0.040  pnl=$      60
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=+0.656  pnl=$     502
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-0.098  pnl=$     -48
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-0.368  pnl=$    -256
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=+0.680  pnl=$     506
  Session_HL_Sweep_Reversal           GC  trades=  53  dsr=-0.009  pnl=$      22
  Absorption_Reversal                 GC  trades=54250  dsr=-0.766  pnl=$-277,395
  Absorption_Reversal                 GC  trades=54250  dsr=-0.587  pnl=$-218,927
  Absorption_Reversal                 GC  trades=54250  dsr=-0.512  pnl=$-196,247
  Absorption_Reversal                 GC  trades=54250  dsr=-0.005  pnl=$ 570,471
  Absorption_Reversal                 GC  trades=54250  dsr=-0.005  pnl=$ 684,968
  Absorption_Reversal                 GC  trades=54250  dsr=-0.005  pnl=$ 703,584
  Absorption_Reversal                 GC  trades=53463  dsr=-0.352  pnl=$-142,960
  Absorption_Reversal                 GC  trades=53463  dsr=-0.155  pnl=$ -63,264
  Absorption_Reversal                 GC  trades=53463  dsr=-0.068  pnl=$ -27,810
  Absorption_Reversal                 GC  trades=53463  dsr=-0.005  pnl=$ 693,464
  Absorption_Reversal                 GC  trades=53463  dsr=-0.005  pnl=$ 832,152
  Absorption_Reversal                 GC  trades=53463  dsr=-0.005  pnl=$ 888,134
  Absorption_Reversal                 GC  trades=46581  dsr=-0.619  pnl=$-211,498
  Absorption_Reversal                 GC  trades=46581  dsr=-0.454  pnl=$-159,845
  Absorption_Reversal                 GC  trades=46581  dsr=-0.428  pnl=$-156,036
  Absorption_Reversal                 GC  trades=46581  dsr=-0.005  pnl=$ 520,550
  Absorption_Reversal                 GC  trades=46581  dsr=-0.005  pnl=$ 623,564
  Absorption_Reversal                 GC  trades=46581  dsr=-0.005  pnl=$ 627,062
  Absorption_Reversal                 GC  trades=40277  dsr=-0.257  pnl=$ -75,241
  Absorption_Reversal                 GC  trades=40277  dsr=+0.057  pnl=$  20,858
  Absorption_Reversal                 GC  trades=40277  dsr=+0.073  pnl=$  27,840
  Absorption_Reversal                 GC  trades=40277  dsr=-0.005  pnl=$ 577,904
  Absorption_Reversal                 GC  trades=40277  dsr=-0.005  pnl=$ 730,916
  Absorption_Reversal                 GC  trades=40277  dsr=-0.005  pnl=$ 746,590
  Absorption_Reversal                 GC  trades=28555  dsr=-0.455  pnl=$-107,472
  Absorption_Reversal                 GC  trades=28555  dsr=-0.222  pnl=$ -55,816
  Absorption_Reversal                 GC  trades=28555  dsr=-0.386  pnl=$ -98,293
  Absorption_Reversal                 GC  trades=28555  dsr=-0.005  pnl=$ 349,566
  Absorption_Reversal                 GC  trades=28555  dsr=-0.005  pnl=$ 446,170
  Absorption_Reversal                 GC  trades=28555  dsr=-0.005  pnl=$ 388,882
  Absorption_Reversal                 GC  trades=26632  dsr=+0.101  pnl=$  24,030
  Absorption_Reversal                 GC  trades=26632  dsr=+0.226  pnl=$  88,980
  Absorption_Reversal                 GC  trades=26632  dsr=+0.191  pnl=$  75,722
  Absorption_Reversal                 GC  trades=26632  dsr=-0.005  pnl=$ 478,750
  Absorption_Reversal                 GC  trades=26632  dsr=-0.005  pnl=$ 583,333
  Absorption_Reversal                 GC  trades=26632  dsr=-0.005  pnl=$ 572,070
  CVD_Absorption                      GC  trades=7169  dsr=-0.289  pnl=$ -21,766
  CVD_Absorption                      GC  trades=7169  dsr=-0.274  pnl=$ -22,420
  CVD_Absorption                      GC  trades=7169  dsr=-0.007  pnl=$  69,934
  CVD_Absorption                      GC  trades=7169  dsr=-0.007  pnl=$  80,180
  CVD_Absorption                      GC  trades=7169  dsr=-0.007  pnl=$ 134,785
  CVD_Absorption                      GC  trades=7169  dsr=-0.007  pnl=$ 166,968
  CVD_Absorption                      GC  trades=7169  dsr=-0.289  pnl=$ -21,766
  CVD_Absorption                      GC  trades=7169  dsr=-0.274  pnl=$ -22,420
  CVD_Absorption                      GC  trades=7169  dsr=-0.007  pnl=$  69,934
  CVD_Absorption                      GC  trades=7169  dsr=-0.007  pnl=$  80,180
  CVD_Absorption                      GC  trades=7169  dsr=-0.007  pnl=$ 134,785
  CVD_Absorption                      GC  trades=7169  dsr=-0.007  pnl=$ 166,968
  CVD_Absorption                      GC  trades=10244  dsr=-0.797  pnl=$ -73,304
  CVD_Absorption                      GC  trades=10244  dsr=-0.620  pnl=$ -52,965
  CVD_Absorption                      GC  trades=10244  dsr=+0.248  pnl=$  29,018
  CVD_Absorption                      GC  trades=10244  dsr=-0.007  pnl=$  79,136
  CVD_Absorption                      GC  trades=10244  dsr=-0.007  pnl=$ 108,804
  CVD_Absorption                      GC  trades=10244  dsr=-0.007  pnl=$ 181,701
  CVD_Absorption                      GC  trades=10244  dsr=-0.797  pnl=$ -73,304
  CVD_Absorption                      GC  trades=10244  dsr=-0.620  pnl=$ -52,965
  CVD_Absorption                      GC  trades=10244  dsr=+0.248  pnl=$  29,018
  CVD_Absorption                      GC  trades=10244  dsr=-0.007  pnl=$  79,136
  CVD_Absorption                      GC  trades=10244  dsr=-0.007  pnl=$ 108,804
  CVD_Absorption                      GC  trades=10244  dsr=-0.007  pnl=$ 181,701
  Repeated_Replenishment              GC  trades=10008  dsr=+0.227  pnl=$  35,121
  Repeated_Replenishment              GC  trades=10008  dsr=+0.230  pnl=$  39,134
  Repeated_Replenishment              GC  trades=10008  dsr=-0.006  pnl=$ 264,693
  Repeated_Replenishment              GC  trades=10008  dsr=-0.006  pnl=$ 275,007
  Repeated_Replenishment              GC  trades=8498  dsr=+0.311  pnl=$  56,361
  Repeated_Replenishment              GC  trades=8498  dsr=+0.309  pnl=$  59,507
  Repeated_Replenishment              GC  trades=8498  dsr=-0.006  pnl=$ 267,618
  Repeated_Replenishment              GC  trades=8498  dsr=-0.006  pnl=$ 283,159
  Repeated_Replenishment              GC  trades=8072  dsr=+0.258  pnl=$  37,951
  Repeated_Replenishment              GC  trades=8072  dsr=+0.285  pnl=$  49,353
  Repeated_Replenishment              GC  trades=8072  dsr=-0.006  pnl=$ 229,107
  Repeated_Replenishment              GC  trades=8072  dsr=-0.006  pnl=$ 248,335
  Repeated_Replenishment              GC  trades=6875  dsr=+0.328  pnl=$  50,314
  Repeated_Replenishment              GC  trades=6875  dsr=+0.305  pnl=$  56,233
  Repeated_Replenishment              GC  trades=6875  dsr=-0.006  pnl=$ 224,623
  Repeated_Replenishment              GC  trades=6875  dsr=-0.006  pnl=$ 239,147
  Repeated_Replenishment              GC  trades=6340  dsr=+0.279  pnl=$  37,091
  Repeated_Replenishment              GC  trades=6340  dsr=+0.270  pnl=$  43,841
  Repeated_Replenishment              GC  trades=6340  dsr=-0.006  pnl=$ 198,170
