strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
Depth_Imbalance_MeanRev,GC,"{""extreme_thr"": 0.7, ""rr_ratio"": 1.5, ""hold_bars"": 5}",994,0.4447,5400.75,536.76,-420.01,1.023,0.2031,0.1634,22592.0
MultiTF_OFI,GC,"{""trend_window"": 40, ""entry_pct"": 75, ""rr_ratio"": 1.5, ""hold_bars"": 10}",12488,0.4575,199533.5,447.92,-348.26,1.085,1.2052,0.1541,76530.5
OFI_Reversal,GC,"{""ofi_pct"": 90, ""body_fraction"": 0.2, ""rr_ratio"": 1.5, ""hold_bars"": 10}",8255,0.4287,20046.0,504.54,-374.37,1.011,0.1624,0.1412,103995.5
Absorption_Reversal,GC,"{""abs_pct"": 90, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 5}",11182,0.4521,81229.0,383.66,-303.28,1.044,0.6236,0.125,75455.5
Repeated_Replenishment,GC,"{""imbal_thr"": 0.2, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 1.5, ""hold_bars"": 12}",3625,0.4463,89116.0,555.09,-403.1,1.11,1.1159,0.1213,50355.0
OFI_Reversal,GC,"{""ofi_pct"": 85, ""body_fraction"": 0.2, ""rr_ratio"": 1.5, ""hold_bars"": 10}",9648,0.4333,105976.0,513.19,-372.92,1.052,0.7453,0.1208,95117.5
Repeated_Replenishment,GC,"{""imbal_thr"": 0.2, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 1.5, ""hold_bars"": 8}",3625,0.4488,87939.5,533.91,-390.76,1.113,1.1631,0.119,44011.5
CVD_Acceleration,GC,"{""accel_std"": 1.5, ""rr_ratio"": 1.5, ""hold_bars"": 5}",3596,0.4547,43160.0,402.59,-313.65,1.07,1.4243,0.1174,20880.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 3, ""cvd_negative"": true, ""rr_ratio"": 1.5, ""hold_bars"": 12}",3393,0.4418,86665.0,565.45,-401.76,1.114,1.1026,0.1068,51242.5
CVD_Absorption,GC,"{""cvd_pct"": 20, ""price_bias"": ""close"", ""rr_ratio"": 1.5, ""hold_bars"": 5}",2981,0.4462,32238.5,387.4,-292.55,1.067,0.6885,0.0886,47939.5
CVD_Absorption,GC,"{""cvd_pct"": 20, ""price_bias"": ""body"", ""rr_ratio"": 1.5, ""hold_bars"": 5}",2981,0.4462,32238.5,387.4,-292.55,1.067,0.6885,0.0886,47939.5
Absorption_Reversal,GC,"{""abs_pct"": 85, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 12}",17178,0.4467,140917.5,434.57,-335.99,1.044,0.7276,0.0835,99579.5
Absorption_Reversal,GC,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 5}",19812,0.4474,100685.0,387.22,-304.25,1.03,0.5502,0.0709,119433.0
OFI_Reversal,GC,"{""ofi_pct"": 85, ""body_fraction"": 0.35, ""rr_ratio"": 1.5, ""hold_bars"": 10}",9928,0.4329,116031.0,510.54,-369.14,1.056,0.7938,0.0631,98773.5
