strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
Sweep_Continuation,SI,"{""min_sweeps"": 2, ""confirm_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 10}",144,0.3681,7789.5,722.86,-335.41,1.255,1.6828,0.2325,12927.0
MultiTF_OFI,SI,"{""trend_window"": 40, ""entry_pct"": 85, ""rr_ratio"": 2.0, ""hold_bars"": 10}",5078,0.396,193271.5,1218.93,-736.22,1.086,0.5413,0.2313,309471.0
MultiTF_OFI,SI,"{""trend_window"": 20, ""entry_pct"": 85, ""rr_ratio"": 1.5, ""hold_bars"": 10}",5382,0.4394,125127.25,996.2,-739.44,1.056,0.369,0.218,295595.0
OFI_Microprice,SI,"{""mp_diff_pct"": 80, ""ofi_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 10}",4168,0.4319,190541.5,1383.91,-971.5,1.083,0.7563,0.2125,109465.25
Sweep_Continuation,SI,"{""min_sweeps"": 2, ""confirm_bars"": 1, ""rr_ratio"": 2.0, ""hold_bars"": 10}",620,0.3839,43617.5,880.61,-434.47,1.263,1.6285,0.2079,25058.0
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 5}",10992,0.4208,144312.25,850.45,-595.1,1.038,0.4778,0.1705,262759.75
OFI_Continuation,SI,"{""ofi_pct"": 90, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",509,0.3969,34277.0,1071.86,-593.61,1.188,0.955,0.1667,18627.0
Depth_Imbalance_MeanRev,SI,"{""extreme_thr"": 0.8, ""rr_ratio"": 1.0, ""hold_bars"": 5}",474,0.4895,9863.87,1352.44,-1255.79,1.032,0.2039,0.1448,55098.5
Depth_Imbalance_MeanRev,SI,"{""extreme_thr"": 0.8, ""rr_ratio"": 1.0, ""hold_bars"": 3}",474,0.4705,7109.98,1286.5,-1114.66,1.025,0.1519,0.1118,49731.5
CVD_Acceleration,SI,"{""accel_std"": 2.0, ""rr_ratio"": 1.5, ""hold_bars"": 8}",1164,0.4098,6662.0,943.1,-645.12,1.015,0.1354,0.0976,50926.5
MultiTF_OFI,SI,"{""trend_window"": 40, ""entry_pct"": 75, ""rr_ratio"": 1.5, ""hold_bars"": 10}",6594,0.4271,40879.5,966.25,-709.39,1.015,0.104,0.0945,259847.75
Depth_Imbalance_MeanRev,SI,"{""extreme_thr"": 0.6, ""rr_ratio"": 1.5, ""hold_bars"": 8}",656,0.4726,30895.94,1394.82,-1160.4,1.077,0.4315,0.0736,45901.0
CVD_Acceleration,SI,"{""accel_std"": 2.5, ""rr_ratio"": 2.0, ""hold_bars"": 8}",715,0.3776,2055.0,1117.07,-673.16,1.007,0.0771,0.0624,22851.5
Depth_Imbalance_MeanRev,SI,"{""extreme_thr"": 0.8, ""rr_ratio"": 1.0, ""hold_bars"": 8}",474,0.5042,2916.37,1392.03,-1403.31,1.009,0.0618,0.0461,55368.5
Absorption_Reversal,SI,"{""abs_pct"": 90, ""roll_win"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 8}",5669,0.4248,137200.75,985.1,-685.35,1.061,0.6434,-0.0023,182113.75
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 5}",11017,0.4042,879288.5,1088.33,-604.36,1.222,2.5021,-0.0085,119137.0
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",10992,0.4006,798341.0,1066.79,-591.7,1.205,2.3458,-0.0085,131373.0
Absorption_Reversal,SI,"{""abs_pct"": 85, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 5}",9557,0.4268,299606.0,875.71,-597.38,1.092,1.1857,-0.0086,194535.75
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 5}",11017,0.4252,254348.5,874.17,-606.39,1.066,0.8612,-0.0086,216417.0
Absorption_Reversal,SI,"{""abs_pct"": 85, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 5}",9557,0.4065,883586.0,1095.59,-594.64,1.262,2.7781,-0.0086,84365.5
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 8}",10992,0.3977,758676.0,1158.45,-650.19,1.176,2.2323,-0.0086,131244.0
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 8}",11017,0.429,303702.25,943.44,-660.47,1.073,0.9781,-0.0086,220377.0
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 12}",11017,0.3987,943633.5,1257.82,-691.72,1.206,2.4301,-0.0086,129928.0
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 8}",11017,0.4031,888753.5,1185.2,-665.26,1.203,2.4193,-0.0086,129928.0
Absorption_Reversal,SI,"{""abs_pct"": 85, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 12}",9557,0.402,905413.5,1252.97,-683.9,1.232,2.6793,-0.0087,113052.0
OFI_Microprice,SI,"{""mp_diff_pct"": 60, ""ofi_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",6567,0.4163,896748.5,1406.82,-769.5,1.304,2.3968,-0.0087,116017.5
Absorption_Reversal,SI,"{""abs_pct"": 85, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 8}",9557,0.4072,847531.0,1177.19,-659.15,1.227,2.6763,-0.0087,91282.5
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 12}",10992,0.3932,818101.0,1229.08,-673.76,1.182,2.2974,-0.0087,156553.5
Absorption_Reversal,SI,"{""abs_pct"": 85, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 8}",9557,0.4319,283639.75,932.01,-656.42,1.08,1.0959,-0.0087,225082.0
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 12}",11017,0.43,348231.0,981.09,-684.59,1.081,1.071,-0.0087,233383.75
OFI_Microprice,SI,"{""mp_diff_pct"": 60, ""ofi_pct"": 60, ""rr_ratio"": 1.5, ""hold_bars"": 5}",6567,0.4402,383399.75,1118.94,-775.7,1.134,1.2321,-0.0087,132971.5
Absorption_Reversal,SI,"{""abs_pct"": 85, ""roll_win"": 30, ""rr_ratio"": 1.5, ""hold_bars"": 12}",9557,0.4321,332338.5,972.38,-678.75,1.09,1.2125,-0.0087,242409.0
