======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['GC']  Strategies: 16
======================================================================
[GC] Primary bars: 77,270 rows
[GC] Quick mode: 28,374 bars from 2024
[GC] 28,374 bars ready. L2 cols present: 17/17

  Session_HL_Sweep_Reversal           GC  trades=  22  dsr=+1.088  pnl=$  -1,046
  Session_HL_Sweep_Reversal           GC  trades=  22  dsr=+0.309  pnl=$    -901
  Session_HL_Sweep_Reversal           GC  trades=  22  dsr=-0.063  pnl=$    -403
  Session_HL_Sweep_Reversal           GC  trades=  22  dsr=-0.063  pnl=$    -391
  Session_HL_Sweep_Reversal           GC  trades=  22  dsr=-0.063  pnl=$    -271
  Session_HL_Sweep_Reversal           GC  trades=  22  dsr=-0.063  pnl=$    -704
  Session_HL_Sweep_Reversal           GC  trades=  22  dsr=-0.063  pnl=$    -622
  Session_HL_Sweep_Reversal           GC  trades=  22  dsr=-0.063  pnl=$    -502
  Absorption_Reversal                 GC  trades=19812  dsr=-0.008  pnl=$ 189,839
  Absorption_Reversal                 GC  trades=19812  dsr=-0.008  pnl=$ 219,851
  Absorption_Reversal                 GC  trades=19812  dsr=-0.008  pnl=$ 251,308
  Absorption_Reversal                 GC  trades=19812  dsr=-0.008  pnl=$ 698,430
  Absorption_Reversal                 GC  trades=19812  dsr=-0.008  pnl=$ 765,656
  Absorption_Reversal                 GC  trades=19812  dsr=-0.008  pnl=$ 797,744
  Absorption_Reversal                 GC  trades=19588  dsr=-0.008  pnl=$ 304,112
  Absorption_Reversal                 GC  trades=19588  dsr=-0.008  pnl=$ 352,113
  Absorption_Reversal                 GC  trades=19588  dsr=-0.008  pnl=$ 391,440
  Absorption_Reversal                 GC  trades=19588  dsr=-0.008  pnl=$ 804,692
  Absorption_Reversal                 GC  trades=19588  dsr=-0.008  pnl=$ 900,078
  Absorption_Reversal                 GC  trades=19588  dsr=-0.008  pnl=$ 955,778
  Absorption_Reversal                 GC  trades=17178  dsr=-0.008  pnl=$ 188,216
  Absorption_Reversal                 GC  trades=17178  dsr=-0.008  pnl=$ 212,843
  Absorption_Reversal                 GC  trades=17178  dsr=-0.008  pnl=$ 218,218
  Absorption_Reversal                 GC  trades=17178  dsr=-0.008  pnl=$ 626,396
  Absorption_Reversal                 GC  trades=17178  dsr=-0.008  pnl=$ 680,189
  Absorption_Reversal                 GC  trades=17178  dsr=-0.008  pnl=$ 688,899
  Absorption_Reversal                 GC  trades=15196  dsr=-0.008  pnl=$ 241,165
  Absorption_Reversal                 GC  trades=15196  dsr=-0.008  pnl=$ 307,926
  Absorption_Reversal                 GC  trades=15196  dsr=-0.008  pnl=$ 323,313
  Absorption_Reversal                 GC  trades=15196  dsr=-0.008  pnl=$ 642,031
  Absorption_Reversal                 GC  trades=15196  dsr=-0.008  pnl=$ 750,252
  Absorption_Reversal                 GC  trades=15196  dsr=-0.008  pnl=$ 774,119
  Absorption_Reversal                 GC  trades=11182  dsr=-0.008  pnl=$ 131,548
  Absorption_Reversal                 GC  trades=11182  dsr=-0.008  pnl=$ 169,276
  Absorption_Reversal                 GC  trades=11182  dsr=-0.008  pnl=$ 141,089
  Absorption_Reversal                 GC  trades=11182  dsr=-0.008  pnl=$ 414,178
  Absorption_Reversal                 GC  trades=11182  dsr=-0.008  pnl=$ 491,891
  Absorption_Reversal                 GC  trades=11182  dsr=-0.008  pnl=$ 453,309
  Absorption_Reversal                 GC  trades=10530  dsr=-0.008  pnl=$ 227,864
  Absorption_Reversal                 GC  trades=10530  dsr=-0.008  pnl=$ 277,699
  Absorption_Reversal                 GC  trades=10530  dsr=-0.008  pnl=$ 269,704
  Absorption_Reversal                 GC  trades=10530  dsr=-0.008  pnl=$ 511,118
  Absorption_Reversal                 GC  trades=10530  dsr=-0.008  pnl=$ 592,571
  Absorption_Reversal                 GC  trades=10530  dsr=-0.008  pnl=$ 587,992
  CVD_Absorption                      GC  trades=2981  dsr=-0.011  pnl=$  45,653
  CVD_Absorption                      GC  trades=2981  dsr=-0.011  pnl=$  46,923
  CVD_Absorption                      GC  trades=2981  dsr=-0.011  pnl=$ 106,194
  CVD_Absorption                      GC  trades=2981  dsr=-0.011  pnl=$ 112,679
  CVD_Absorption                      GC  trades=2981  dsr=-0.011  pnl=$ 147,645
  CVD_Absorption                      GC  trades=2981  dsr=-0.011  pnl=$ 170,644
  CVD_Absorption                      GC  trades=2981  dsr=-0.011  pnl=$  45,653
