strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
CVD_VWAP,GC,"{""vwap_band"": 0.25, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 12}",6405,0.4564,79342.5,425.92,-334.75,1.068,0.6362,0.4257,31280.5
MultiTF_OFI,GC,"{""trend_window"": 40, ""entry_pct"": 75, ""rr_ratio"": 2.0, ""hold_bars"": 5}",33161,0.414,427989.5,312.27,-198.54,1.111,1.3967,0.425,71676.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 3, ""rr_ratio"": 1.5, ""hold_bars"": 5}",17333,0.4569,294289.97,369.99,-279.97,1.112,1.1141,0.4247,105152.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 5}",19463,0.4571,309989.69,364.38,-277.42,1.106,1.0858,0.4239,118128.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",24034,0.4357,855427.02,420.55,-261.66,1.241,2.3387,0.4186,50734.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 3, ""rr_ratio"": 1.5, ""hold_bars"": 5}",21446,0.4544,244973.85,345.57,-266.87,1.078,0.8302,0.4169,160965.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 3, ""rr_ratio"": 2.0, ""hold_bars"": 5}",21446,0.4358,780648.02,427.12,-265.44,1.243,2.2832,0.415,54463.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 3, ""rr_ratio"": 2.0, ""hold_bars"": 5}",27104,0.4343,936823.02,409.7,-253.42,1.241,2.4288,0.4142,61692.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 5}",30312,0.4536,298688.85,322.99,-250.12,1.072,0.8459,0.4137,223167.5
CVD_Acceleration,GC,"{""accel_std"": 2.5, ""rr_ratio"": 1.5, ""hold_bars"": 8}",3866,0.4441,26301.0,285.01,-215.48,1.057,0.7068,0.4113,31823.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",18118,0.4364,695955.35,437.06,-270.21,1.252,2.3396,0.4111,46835.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 3, ""rr_ratio"": 2.0, ""hold_bars"": 5}",17333,0.4382,761950.14,457.57,-278.63,1.281,2.4899,0.4091,41945.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 10}",30312,0.4517,392062.35,361.42,-274.16,1.086,0.8977,0.4084,261971.0
CVD_Absorption,GC,"{""cvd_pct"": 30, ""price_bias"": ""close"", ""rr_ratio"": 2.0, ""hold_bars"": 10}",10244,0.3931,79136.0,304.84,-184.73,1.069,0.8174,0.4083,68302.5
CVD_Absorption,GC,"{""cvd_pct"": 30, ""price_bias"": ""body"", ""rr_ratio"": 2.0, ""hold_bars"": 10}",10244,0.3931,79136.0,304.84,-184.73,1.069,0.8174,0.4083,68302.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",19463,0.439,834991.85,450.18,-275.85,1.277,2.5152,0.4082,39938.0
CVD_VWAP,GC,"{""vwap_band"": 0.25, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 8}",6405,0.4565,73085.5,406.26,-320.26,1.066,0.6152,0.4067,28168.5
CVD_Absorption,GC,"{""cvd_pct"": 20, ""price_bias"": ""close"", ""rr_ratio"": 2.5, ""hold_bars"": 10}",7169,0.374,166968.5,393.26,-197.72,1.188,1.8839,0.4039,34270.0
CVD_Absorption,GC,"{""cvd_pct"": 20, ""price_bias"": ""body"", ""rr_ratio"": 2.5, ""hold_bars"": 10}",7169,0.374,166968.5,393.26,-197.72,1.188,1.8839,0.4039,34270.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 10}",24034,0.4513,346379.85,382.68,-288.51,1.091,0.8797,0.4031,210637.0
OFI_Microprice,GC,"{""mp_diff_pct"": 80, ""ofi_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",21256,0.4146,399633.0,403.5,-253.67,1.127,1.4356,0.4021,54353.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""rr_ratio"": 1.5, ""hold_bars"": 10}",23151,0.4534,391727.35,381.44,-285.41,1.108,1.0679,0.401,189326.5
CVD_Slope_Regime,GC,"{""slope_window"": 10, ""slope_thr"": 0.0, ""rr_ratio"": 2.0, ""hold_bars"": 15}",7813,0.4025,149871.5,386.75,-228.46,1.141,1.6285,0.3977,20667.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 10}",30312,0.4204,1194499.02,468.96,-272.2,1.25,2.2668,0.3963,92908.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",14593,0.4412,672147.5,464.04,-284.01,1.29,2.5708,0.3958,36514.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 3, ""rr_ratio"": 1.5, ""hold_bars"": 10}",27104,0.452,402008.85,371.23,-279.09,1.097,0.9757,0.3952,235148.0
MultiTF_OFI,GC,"{""trend_window"": 20, ""entry_pct"": 75, ""rr_ratio"": 2.0, ""hold_bars"": 10}",35161,0.4053,561123.5,361.18,-219.3,1.122,1.4946,0.3952,91062.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 3, ""rr_ratio"": 2.0, ""hold_bars"": 10}",27104,0.421,1141317.02,481.18,-277.2,1.262,2.2959,0.3952,88651.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.2, ""persist_bars"": 3, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 8}",10008,0.4201,264693.42,425.81,-262.82,1.174,1.6331,0.3926,40905.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 2, ""rr_ratio"": 1.5, ""hold_bars"": 10}",19463,0.4539,385095.19,410.11,-304.62,1.119,1.0741,0.3905,143197.5
OFI_Microprice,GC,"{""mp_diff_pct"": 80, ""ofi_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 5}",17799,0.419,439864.5,418.94,-259.61,1.164,1.8026,0.388,41345.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 3, ""rr_ratio"": 1.5, ""hold_bars"": 10}",21446,0.4518,349259.85,390.46,-292.13,1.102,0.9433,0.3875,183665.5
OFI_Microprice,GC,"{""mp_diff_pct"": 70, ""ofi_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 5}",23323,0.4177,538839.5,394.23,-243.16,1.163,1.9531,0.3867,42389.5
Repeated_Replenishment,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 8}",5307,0.4289,195392.25,489.73,-303.27,1.213,1.6792,0.3842,33538.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 3, ""rr_ratio"": 1.5, ""hold_bars"": 10}",17333,0.4544,395436.47,419.29,-307.38,1.136,1.1821,0.3829,120709.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.2, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 8}",8498,0.4226,267617.75,447.09,-272.65,1.2,1.7147,0.3815,45141.5
Repeated_Replenishment,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 8}",6875,0.424,224623.25,465.47,-285.91,1.198,1.6386,0.3809,42552.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 10}",19463,0.4239,973403.85,529.5,-302.85,1.287,2.2826,0.3788,56699.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 10}",24034,0.4217,1004979.02,493.18,-287.26,1.252,2.1413,0.378,78080.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""rr_ratio"": 2.0, ""hold_bars"": 10}",23151,0.4222,1036228.85,494.2,-283.68,1.273,2.3192,0.3774,72794.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 3, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 8}",8072,0.4194,229107.42,449.52,-275.77,1.177,1.5445,0.3767,44497.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 3, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 8}",6340,0.4248,198170.42,472.37,-294.47,1.185,1.5542,0.3765,34659.0
OFI_Microprice,GC,"{""mp_diff_pct"": 70, ""ofi_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",27938,0.4136,483818.0,377.89,-236.99,1.125,1.5506,0.3764,51554.5
Sweep_Absorption_Reversal,GC,"{""min_sweeps"": 3, ""absorption_thr"": 0.5, ""rr_ratio"": 1.5, ""hold_bars"": 8}",511,0.4344,2592.0,225.82,-164.5,1.055,0.4066,0.3762,8533.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 3, ""rr_ratio"": 2.0, ""hold_bars"": 10}",21446,0.4221,949052.02,503.11,-290.87,1.263,2.1574,0.3743,78586.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 5, ""rr_ratio"": 1.5, ""hold_bars"": 10}",18118,0.4536,327365.85,397.44,-296.85,1.111,1.0226,0.3743,131469.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 2, ""rr_ratio"": 2.0, ""hold_bars"": 5}",30312,0.4341,1017122.02,400.94,-248.25,1.239,2.4314,0.374,63355.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 3, ""rr_ratio"": 2.0, ""hold_bars"": 10}",17333,0.4248,921357.14,539.59,-306.08,1.302,2.3328,0.3735,58540.5
OFI_Continuation,GC,"{""ofi_pct"": 90, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",2809,0.414,26544.5,327.5,-215.27,1.075,0.6658,0.373,29571.5
CVD_Absorption,GC,"{""cvd_pct"": 20, ""price_bias"": ""body"", ""rr_ratio"": 2.0, ""hold_bars"": 10}",7169,0.402,80179.5,324.22,-199.26,1.094,1.0132,0.3719,39513.0
CVD_Absorption,GC,"{""cvd_pct"": 20, ""price_bias"": ""close"", ""rr_ratio"": 2.0, ""hold_bars"": 10}",7169,0.402,80179.5,324.22,-199.26,1.094,1.0132,0.3719,39513.0
Sweep_Absorption_Reversal,GC,"{""min_sweeps"": 3, ""absorption_thr"": 0.8, ""rr_ratio"": 1.5, ""hold_bars"": 8}",505,0.4356,2522.0,225.82,-165.46,1.053,0.3964,0.3706,8533.5
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 5, ""rr_ratio"": 1.5, ""hold_bars"": 10}",14593,0.4569,354214.5,425.13,-313.0,1.143,1.2391,0.3674,84606.5
OFI_Continuation,GC,"{""ofi_pct"": 95, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",2384,0.4044,17478.0,329.76,-211.55,1.058,0.5152,0.3646,22560.5
CVD_Acceleration,GC,"{""accel_std"": 2.0, ""rr_ratio"": 1.5, ""hold_bars"": 8}",5988,0.4384,15482.0,280.73,-214.52,1.021,0.3499,0.3632,37257.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 5, ""rr_ratio"": 2.0, ""hold_bars"": 10}",18118,0.4232,847837.35,513.21,-295.37,1.275,2.1989,0.3624,67198.5
OFI_Reversal,GC,"{""ofi_pct"": 90, ""body_fraction"": 0.2, ""rr_ratio"": 2.0, ""hold_bars"": 10}",20834,0.4006,386257.0,428.74,-255.61,1.121,1.3703,0.3611,41900.5
OFI_Reversal,GC,"{""ofi_pct"": 90, ""body_fraction"": 0.35, ""rr_ratio"": 2.0, ""hold_bars"": 10}",21384,0.4003,392665.0,425.18,-253.19,1.121,1.3638,0.3582,41910.5
Repeated_Replenishment,GC,"{""imbal_thr"": 0.2, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 12}",8498,0.4147,283158.75,478.58,-282.14,1.202,1.6765,0.358,52958.5
Repeated_Replenishment,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 12}",5307,0.4206,208253.25,526.51,-314.45,1.215,1.6091,0.3563,39667.5
Repeated_Replenishment,GC,"{""imbal_thr"": 0.2, ""persist_bars"": 3, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 12}",10008,0.4128,275007.42,454.64,-272.78,1.172,1.5541,0.3561,54699.0
Depth_Imbalance_Momentum,GC,"{""imbal_thr"": 0.5, ""persist_bars"": 5, ""rr_ratio"": 2.0, ""hold_bars"": 10}",14593,0.4269,811531.5,548.3,-311.41,1.312,2.3487,0.356,61905.5
Repeated_Replenishment,GC,"{""imbal_thr"": 0.4, ""persist_bars"": 3, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 12}",6340,0.417,210600.42,506.04,-305.02,1.187,1.4801,0.3532,42593.0
Depth_Imbalance_MeanRev,GC,"{""extreme_thr"": 0.7, ""rr_ratio"": 1.5, ""hold_bars"": 8}",2538,0.4437,17231.5,406.77,-312.18,1.039,0.3592,0.3508,25291.5
OFI_Microprice,GC,"{""mp_diff_pct"": 80, ""ofi_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",21256,0.4049,514200.0,469.12,-278.5,1.146,1.517,0.3481,62004.0
OFI_Microprice,GC,"{""mp_diff_pct"": 70, ""ofi_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",27938,0.4027,574950.0,437.43,-260.47,1.132,1.5413,0.3468,56618.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 12}",6875,0.4147,239147.25,500.58,-295.23,1.201,1.5731,0.3463,49132.0
Repeated_Replenishment,GC,"{""imbal_thr"": 0.3, ""persist_bars"": 3, ""cvd_negative"": true, ""rr_ratio"": 2.0, ""hold_bars"": 12}",8072,0.4113,248335.42,482.32,-284.72,1.184,1.5128,0.3443,50434.0
CVD_Absorption,GC,"{""cvd_pct"": 20, ""price_bias"": ""close"", ""rr_ratio"": 2.0, ""hold_bars"": 5}",7169,0.4094,69933.5,283.65,-180.11,1.092,0.9731,0.339,45991.0
CVD_Absorption,GC,"{""cvd_pct"": 20, ""price_bias"": ""body"", ""rr_ratio"": 2.0, ""hold_bars"": 5}",7169,0.4094,69933.5,283.65,-180.11,1.092,0.9731,0.339,45991.0
