======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['SI']  Strategies: 16
======================================================================
[SI] Primary bars: 37,920 rows
[SI] Quick mode: 15,172 bars from 2024
[SI] 15,172 bars ready. L2 cols present: 17/17

  Sweep_Absorption_Reversal           SI  trades=  70  dsr=-2.019  pnl=$  -2,030
  Sweep_Absorption_Reversal           SI  trades=  69  dsr=-3.131  pnl=$  -3,272
  Sweep_Absorption_Reversal           SI  trades=  69  dsr=-3.408  pnl=$  -3,248
  Sweep_Absorption_Reversal           SI  trades=  69  dsr=-1.597  pnl=$  -1,750
  Sweep_Absorption_Reversal           SI  trades=  69  dsr=-1.822  pnl=$  -1,830
  Absorption_Reversal                 SI  trades=11017  dsr=-0.009  pnl=$ 254,348
  Absorption_Reversal                 SI  trades=11017  dsr=-0.009  pnl=$ 303,702
  Absorption_Reversal                 SI  trades=11017  dsr=-0.009  pnl=$ 348,231
  Absorption_Reversal                 SI  trades=11017  dsr=-0.009  pnl=$ 879,288
  Absorption_Reversal                 SI  trades=11017  dsr=-0.009  pnl=$ 888,754
  Absorption_Reversal                 SI  trades=11017  dsr=-0.009  pnl=$ 943,634
  Absorption_Reversal                 SI  trades=10992  dsr=+0.184  pnl=$ 144,312
  Absorption_Reversal                 SI  trades=10992  dsr=+0.272  pnl=$ 121,295
  Absorption_Reversal                 SI  trades=10992  dsr=+0.285  pnl=$ 168,561
  Absorption_Reversal                 SI  trades=10992  dsr=-0.009  pnl=$ 798,341
  Absorption_Reversal                 SI  trades=10992  dsr=-0.009  pnl=$ 758,676
  Absorption_Reversal                 SI  trades=10992  dsr=-0.009  pnl=$ 818,101
  Absorption_Reversal                 SI  trades=9557  dsr=-0.009  pnl=$ 299,606
  Absorption_Reversal                 SI  trades=9557  dsr=-0.009  pnl=$ 283,640
  Absorption_Reversal                 SI  trades=9557  dsr=-0.009  pnl=$ 332,338
  Absorption_Reversal                 SI  trades=9557  dsr=-0.009  pnl=$ 883,586
  Absorption_Reversal                 SI  trades=9557  dsr=-0.009  pnl=$ 847,531
  Absorption_Reversal                 SI  trades=9557  dsr=-0.009  pnl=$ 905,414
  Absorption_Reversal                 SI  trades=8593  dsr=-0.009  pnl=$ 213,920
  Absorption_Reversal                 SI  trades=8593  dsr=-0.009  pnl=$ 237,630
  Absorption_Reversal                 SI  trades=8593  dsr=-0.009  pnl=$ 304,605
  Absorption_Reversal                 SI  trades=8593  dsr=-0.009  pnl=$ 745,099
  Absorption_Reversal                 SI  trades=8593  dsr=-0.009  pnl=$ 765,389
  Absorption_Reversal                 SI  trades=8593  dsr=-0.009  pnl=$ 862,644
  Absorption_Reversal                 SI  trades=5994  dsr=+0.312  pnl=$  82,362
  Absorption_Reversal                 SI  trades=5994  dsr=+0.364  pnl=$  87,663
  Absorption_Reversal                 SI  trades=5994  dsr=+0.349  pnl=$ 135,226
  Absorption_Reversal                 SI  trades=5994  dsr=-0.009  pnl=$ 443,550
  Absorption_Reversal                 SI  trades=5994  dsr=-0.009  pnl=$ 418,930
  Absorption_Reversal                 SI  trades=5994  dsr=-0.009  pnl=$ 468,517
  Absorption_Reversal                 SI  trades=5669  dsr=-0.002  pnl=$ 109,487
  Absorption_Reversal                 SI  trades=5669  dsr=+0.031  pnl=$ 137,201
  Absorption_Reversal                 SI  trades=5669  dsr=-0.009  pnl=$ 175,182
  Absorption_Reversal                 SI  trades=5669  dsr=-0.009  pnl=$ 502,282
  Absorption_Reversal                 SI  trades=5669  dsr=-0.009  pnl=$ 515,157
  Absorption_Reversal                 SI  trades=5669  dsr=-0.009  pnl=$ 574,922
  CVD_Absorption                      SI  trades=1206  dsr=-0.015  pnl=$  40,118
  CVD_Absorption                      SI  trades=1206  dsr=-0.015  pnl=$  50,416
  CVD_Absorption                      SI  trades=1206  dsr=-0.015  pnl=$  74,653
  CVD_Absorption                      SI  trades=1206  dsr=-0.015  pnl=$  85,073
