======================================================================
 FORTRESS L2 STRATEGY BACKTEST BATTERY
 Symbols: ['GC']  Strategies: 16
======================================================================
[GC] Primary bars: 77,270 rows
[GC] 77,270 bars ready. L2 cols present: 17/17

  CVD_Microprice                      GC  trades=25307  dsr=+0.160  pnl=$ 772,878
  CVD_Microprice                      GC  trades=21373  dsr=+0.206  pnl=$  56,081
  CVD_Microprice                      GC  trades=21373  dsr=+0.229  pnl=$ 121,404
  CVD_Microprice                      GC  trades=21373  dsr=+0.137  pnl=$ 490,430
  CVD_Microprice                      GC  trades=21373  dsr=+0.167  pnl=$ 649,476
  CVD_Microprice                      GC  trades=19915  dsr=+0.190  pnl=$  79,899
  CVD_Microprice                      GC  trades=19915  dsr=+0.234  pnl=$ 145,629
  CVD_Microprice                      GC  trades=19915  dsr=+0.142  pnl=$ 502,786
  CVD_Microprice                      GC  trades=19915  dsr=+0.176  pnl=$ 660,366
  CVD_Microprice                      GC  trades=14243  dsr=+0.315  pnl=$  81,131
  CVD_Microprice                      GC  trades=14243  dsr=+0.303  pnl=$ 157,648
  CVD_Microprice                      GC  trades=14243  dsr=+0.256  pnl=$ 379,940
  CVD_Microprice                      GC  trades=14243  dsr=+0.264  pnl=$ 517,658
  CVD_Microprice                      GC  trades=13288  dsr=+0.307  pnl=$  85,547
  CVD_Microprice                      GC  trades=13288  dsr=+0.312  pnl=$ 161,190
  CVD_Microprice                      GC  trades=13288  dsr=+0.259  pnl=$ 375,557
  CVD_Microprice                      GC  trades=13288  dsr=+0.265  pnl=$ 511,062
  CVD_Slope_Regime                    GC  trades=12540  dsr=-0.092  pnl=$ -18,621
  CVD_Slope_Regime                    GC  trades=12540  dsr=-0.154  pnl=$ -42,030
  CVD_Slope_Regime                    GC  trades=12540  dsr=+0.169  pnl=$ 209,646
  CVD_Slope_Regime                    GC  trades=12540  dsr=+0.208  pnl=$ 196,912
  CVD_Slope_Regime                    GC  trades=7813  dsr=-0.102  pnl=$  -7,350
  CVD_Slope_Regime                    GC  trades=7813  dsr=-0.223  pnl=$ -16,962
  CVD_Slope_Regime                    GC  trades=7813  dsr=+0.273  pnl=$ 150,986
  CVD_Slope_Regime                    GC  trades=7813  dsr=+0.398  pnl=$ 149,872
  CVD_Slope_Regime                    GC  trades=4829  dsr=+0.235  pnl=$  20,875
  CVD_Slope_Regime                    GC  trades=4829  dsr=+0.248  pnl=$  21,230
  CVD_Slope_Regime                    GC  trades=4829  dsr=+0.161  pnl=$ 117,620
  CVD_Slope_Regime                    GC  trades=4829  dsr=+0.207  pnl=$ 123,622
  CVD_Acceleration                    GC  trades=9603  dsr=-0.296  pnl=$ -24,394
  CVD_Acceleration                    GC  trades=9603  dsr=-0.087  pnl=$  -5,054
  CVD_Acceleration                    GC  trades=9603  dsr=+0.491  pnl=$ 109,058
  CVD_Acceleration                    GC  trades=9603  dsr=+0.658  pnl=$ 131,360
  CVD_Acceleration                    GC  trades=5988  dsr=-0.119  pnl=$  -5,130
  CVD_Acceleration                    GC  trades=5988  dsr=+0.363  pnl=$  15,482
  CVD_Acceleration                    GC  trades=5988  dsr=+0.558  pnl=$  90,541
  CVD_Acceleration                    GC  trades=5988  dsr=+0.560  pnl=$ 123,084
  CVD_Acceleration                    GC  trades=3866  dsr=+0.313  pnl=$   9,658
  CVD_Acceleration                    GC  trades=3866  dsr=+0.411  pnl=$  26,301
  CVD_Acceleration                    GC  trades=3866  dsr=+0.554  pnl=$  66,739
  CVD_Acceleration                    GC  trades=3866  dsr=+0.582  pnl=$  89,533
  CVD_VWAP                            GC  trades=7044  dsr=+0.260  pnl=$  69,833
  CVD_VWAP                            GC  trades=7044  dsr=+0.287  pnl=$  75,182
  CVD_VWAP                            GC  trades=7044  dsr=+0.192  pnl=$ 268,848
  CVD_VWAP                            GC  trades=7044  dsr=+0.214  pnl=$ 276,018
  CVD_VWAP                            GC  trades=6405  dsr=+0.407  pnl=$  73,086
  CVD_VWAP                            GC  trades=6405  dsr=+0.426  pnl=$  79,342
  CVD_VWAP                            GC  trades=6405  dsr=+0.500  pnl=$ 244,808
  CVD_VWAP                            GC  trades=6405  dsr=+0.512  pnl=$ 255,886
  CVD_VWAP                            GC  trades=10923  dsr=+0.179  pnl=$  33,970
  CVD_VWAP                            GC  trades=10923  dsr=+0.229  pnl=$  46,133
  CVD_VWAP                            GC  trades=10923  dsr=+0.183  pnl=$ 330,784
  CVD_VWAP                            GC  trades=10923  dsr=+0.210  pnl=$ 350,622
  CVD_VWAP                            GC  trades=9883  dsr=+0.221  pnl=$  45,897
  CVD_VWAP                            GC  trades=9883  dsr=+0.291  pnl=$  61,176
  CVD_VWAP                            GC  trades=9883  dsr=+0.471  pnl=$ 300,454
  CVD_VWAP                            GC  trades=9883  dsr=+0.501  pnl=$ 326,868
