strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
CVD_VWAP,SI,"{""vwap_band"": 0.5, ""cvd_pct"": 70, ""rr_ratio"": 2.0, ""hold_bars"": 8}",2149,0.4095,62264.5,903.1,-577.2,1.085,0.51,0.3762,54425.5
OFI_Microprice,SI,"{""mp_diff_pct"": 80, ""ofi_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",3778,0.3944,107664.0,823.09,-488.96,1.096,0.7127,0.3738,48595.5
CVD_Absorption,SI,"{""cvd_pct"": 20, ""price_bias"": ""body"", ""rr_ratio"": 2.5, ""hold_bars"": 10}",1726,0.3424,18738.0,827.89,-414.58,1.04,0.3217,0.37,46926.25
CVD_Absorption,SI,"{""cvd_pct"": 20, ""price_bias"": ""close"", ""rr_ratio"": 2.5, ""hold_bars"": 10}",1726,0.3424,18738.0,827.89,-414.58,1.04,0.3217,0.37,46926.25
Absorption_Reversal,SI,"{""abs_pct"": 85, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 8}",5670,0.3885,108032.5,683.61,-403.22,1.077,0.5995,0.3646,93154.5
OFI_Continuation,SI,"{""ofi_pct"": 95, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",990,0.403,38997.5,672.67,-388.15,1.17,0.8628,0.3601,21449.0
Depth_Imbalance_MeanRev,SI,"{""extreme_thr"": 0.8, ""rr_ratio"": 1.5, ""hold_bars"": 3}",808,0.4109,22988.17,1064.37,-694.08,1.07,0.3522,0.3597,44919.0
CVD_Microprice,SI,"{""cvd_pct"": 60, ""mp_ticks"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 5}",1044,0.4176,179992.0,1713.23,-932.53,1.317,1.9196,0.3568,29961.5
Depth_Imbalance_Momentum,SI,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""rr_ratio"": 1.5, ""hold_bars"": 10}",2189,0.4463,54512.0,864.24,-651.69,1.069,0.5431,0.356,46652.75
Depth_Imbalance_Momentum,SI,"{""imbal_thr"": 0.4, ""persist_bars"": 3, ""rr_ratio"": 1.5, ""hold_bars"": 5}",2361,0.4384,61356.75,826.76,-599.05,1.077,0.5581,0.3534,36562.5
Depth_Imbalance_Momentum,SI,"{""imbal_thr"": 0.3, ""persist_bars"": 3, ""rr_ratio"": 1.5, ""hold_bars"": 10}",2708,0.4372,54962.75,838.31,-615.22,1.059,0.452,0.351,69108.25
Depth_Imbalance_Momentum,SI,"{""imbal_thr"": 0.4, ""persist_bars"": 5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",1843,0.4292,131656.5,999.79,-626.59,1.2,1.3108,0.3491,32968.5
Depth_Imbalance_Momentum,SI,"{""imbal_thr"": 0.3, ""persist_bars"": 5, ""rr_ratio"": 1.5, ""hold_bars"": 5}",2403,0.4444,50924.0,779.31,-585.31,1.065,0.531,0.3487,42746.5
CVD_Microprice,SI,"{""cvd_pct"": 80, ""mp_ticks"": 1.0, ""rr_ratio"": 2.0, ""hold_bars"": 5}",758,0.4037,22366.5,1479.52,-952.14,1.052,0.4057,0.3474,46110.5
MultiTF_OFI,SI,"{""trend_window"": 40, ""entry_pct"": 75, ""rr_ratio"": 2.0, ""hold_bars"": 5}",5430,0.3967,130002.5,635.48,-378.15,1.105,0.7811,0.345,71370.5
Depth_Imbalance_Momentum,SI,"{""imbal_thr"": 0.5, ""persist_bars"": 3, ""rr_ratio"": 1.5, ""hold_bars"": 5}",1923,0.4446,47270.25,869.94,-652.18,1.068,0.5038,0.3435,30448.0
