strategy,symbol,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
CVD_VWAP,SI,"{""vwap_band"": 0.25, ""cvd_pct"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 8}",5054,0.4159,304042.0,1011.07,-616.95,1.167,1.186,0.3953,59582.0
CVD_Microprice,SI,"{""cvd_pct"": 70, ""mp_ticks"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",3747,0.4049,223511.0,1240.65,-743.75,1.135,1.1081,0.3902,80579.5
Absorption_Reversal,SI,"{""abs_pct"": 85, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 8}",25144,0.3936,567259.5,650.27,-384.82,1.097,1.0125,0.387,337841.5
CVD_Absorption,SI,"{""cvd_pct"": 20, ""price_bias"": ""body"", ""rr_ratio"": 2.5, ""hold_bars"": 10}",2598,0.356,119149.0,886.52,-418.94,1.17,1.0888,0.3869,69032.25
CVD_Absorption,SI,"{""cvd_pct"": 20, ""price_bias"": ""close"", ""rr_ratio"": 2.5, ""hold_bars"": 10}",2598,0.356,119149.0,886.52,-418.94,1.17,1.0888,0.3869,69032.25
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 8}",28830,0.3901,434982.5,636.13,-382.16,1.065,0.72,0.3846,442847.5
OFI_Continuation,SI,"{""ofi_pct"": 90, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",1245,0.388,21860.0,610.49,-358.28,1.08,0.3905,0.3829,30877.5
CVD_Microprice,SI,"{""cvd_pct"": 60, ""mp_ticks"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 10}",2937,0.4324,105449.75,1497.2,-1077.38,1.059,0.5413,0.3783,149105.5
CVD_Acceleration,SI,"{""accel_std"": 2.5, ""rr_ratio"": 2.0, ""hold_bars"": 5}",1840,0.3821,15180.0,634.23,-378.79,1.035,0.3801,0.3756,34726.5
CVD_Microprice,SI,"{""cvd_pct"": 60, ""mp_ticks"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 10}",4710,0.3943,343082.5,1465.21,-833.44,1.144,1.1324,0.3756,101250.0
Absorption_Reversal,SI,"{""abs_pct"": 85, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 12}",25144,0.3924,607542.0,684.91,-402.53,1.099,1.0233,0.3708,352546.5
Absorption_Reversal,SI,"{""abs_pct"": 80, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 5}",28760,0.387,533587.5,608.96,-354.18,1.085,0.8581,0.3671,386720.0
OFI_Continuation,SI,"{""ofi_pct"": 95, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",1051,0.4025,42755.5,667.11,-381.26,1.179,0.9211,0.3663,22456.0
CVD_VWAP,SI,"{""vwap_band"": 0.5, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 12}",6645,0.4354,101207.5,826.02,-609.93,1.044,0.4052,0.3662,150532.25
CVD_VWAP,SI,"{""vwap_band"": 0.5, ""cvd_pct"": 70, ""rr_ratio"": 1.5, ""hold_bars"": 8}",6645,0.4379,105188.75,790.55,-587.77,1.048,0.4297,0.3644,125072.25
OFI_Continuation,SI,"{""ofi_pct"": 90, ""roll_win"": 120, ""rr_ratio"": 1.5, ""hold_bars"": 10}",1021,0.4368,15028.0,566.64,-413.38,1.063,0.3374,0.3635,31863.0
CVD_Absorption,SI,"{""cvd_pct"": 20, ""price_bias"": ""close"", ""rr_ratio"": 2.0, ""hold_bars"": 5}",2598,0.3753,29751.5,648.85,-371.46,1.049,0.3726,0.3541,71082.5
CVD_Absorption,SI,"{""cvd_pct"": 20, ""price_bias"": ""body"", ""rr_ratio"": 2.0, ""hold_bars"": 5}",2598,0.3753,29751.5,648.85,-371.46,1.049,0.3726,0.3541,71082.5
CVD_Microprice,SI,"{""cvd_pct"": 80, ""mp_ticks"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 10}",2620,0.3916,100592.5,1376.7,-823.03,1.077,0.5461,0.3527,108770.5
Absorption_Reversal,SI,"{""abs_pct"": 85, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 5}",22554,0.3896,473227.0,603.19,-350.55,1.098,0.9221,0.3469,373113.5
Absorption_Reversal,SI,"{""abs_pct"": 90, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 12}",14338,0.389,418139.0,740.27,-423.51,1.113,0.9596,0.3443,220974.5
Absorption_Reversal,SI,"{""abs_pct"": 85, ""roll_win"": 30, ""rr_ratio"": 2.0, ""hold_bars"": 5}",25144,0.3867,547477.0,608.43,-348.12,1.102,0.9785,0.3422,391329.0
OFI_Continuation,SI,"{""ofi_pct"": 90, ""roll_win"": 60, ""rr_ratio"": 2.0, ""hold_bars"": 10}",1245,0.3984,35977.5,686.66,-406.68,1.118,0.5727,0.342,24087.0
OFI_Continuation,SI,"{""ofi_pct"": 90, ""roll_win"": 120, ""rr_ratio"": 2.0, ""hold_bars"": 10}",1021,0.3967,32558.0,726.29,-424.66,1.124,0.5843,0.336,19962.5
