strategy,symbol,tf,params,n_trades,win_rate,total_pnl,avg_win,avg_loss,profit_factor,sharpe,dsr,max_dd
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 1.5, ""atr_period"": 10, ""rr_ratio"": 1.0, ""hold_bars"": 6}",60362,0.4789,-1768487.5,240.29,-279.74,0.797,-4.527,5.7229,1773557.5
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 8, ""compress_ratio"": 0.7, ""rr_ratio"": 3.0, ""hold_bars"": 10}",3115,0.3181,-114378.57,240.95,-170.03,0.676,-2.747,5.7225,118456.25
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.5, ""rr_ratio"": 3.0, ""hold_bars"": 10}",1129,0.3056,-58048.21,217.18,-174.51,0.563,-3.3815,5.6244,58954.46
Enhanced_ORB,ES,5m,"{""orb_bars"": 5, ""vol_mult"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 12}",28178,0.4046,-736343.75,359.63,-289.44,0.848,-3.2889,5.5396,738168.75
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.7, ""rr_ratio"": 2.0, ""hold_bars"": 15}",8778,0.35,-283422.67,268.61,-196.59,0.744,-3.2641,5.4954,285436.71
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.7, ""rr_ratio"": 3.0, ""hold_bars"": 10}",8778,0.3385,-267548.32,264.94,-185.29,0.746,-3.0461,5.3824,270945.64
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.5, ""rr_ratio"": 2.5, ""hold_bars"": 10}",1839,0.342,-79604.46,222.72,-186.81,0.638,-2.8986,5.3127,86891.07
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.5, ""rr_ratio"": 2.5, ""hold_bars"": 10}",1129,0.3091,-59231.25,209.3,-174.05,0.552,-3.5508,5.2551,62045.54
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 1.5, ""atr_period"": 14, ""rr_ratio"": 1.0, ""hold_bars"": 10}",60132,0.4872,-1715785.71,253.02,-297.43,0.812,-4.0056,5.2073,1719861.61
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 8, ""compress_ratio"": 0.7, ""rr_ratio"": 2.0, ""hold_bars"": 15}",3115,0.3329,-115125.89,247.12,-180.9,0.69,-2.747,5.0891,117457.14
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.5, ""rr_ratio"": 2.5, ""hold_bars"": 15}",1129,0.3065,-63523.66,234.51,-187.88,0.561,-3.4523,4.8428,65409.37
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.5, ""rr_ratio"": 3.0, ""hold_bars"": 15}",1129,0.3029,-63035.71,241.6,-188.2,0.567,-3.3473,4.7824,63738.39
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.5, ""rr_ratio"": 2.5, ""hold_bars"": 20}",1129,0.3047,-59169.64,263.99,-194.28,0.605,-2.9215,4.7738,62998.66
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.5, ""rr_ratio"": 3.0, ""hold_bars"": 20}",1839,0.3192,-76778.57,297.54,-204.25,0.695,-2.28,4.563,84428.57
Enhanced_ORB,ES,5m,"{""orb_bars"": 5, ""vol_mult"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 20}",28178,0.3999,-769368.75,379.92,-299.55,0.848,-3.202,4.5553,771106.25
VWAP_Deviation_MeanRev,ES,5m,"{""dev_atr_mult"": 1.5, ""atr_period"": 14, ""rr_ratio"": 1.0, ""hold_bars"": 6}",60132,0.4785,-1706160.71,243.79,-280.97,0.804,-4.359,4.5404,1709631.25
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.5, ""rr_ratio"": 3.0, ""hold_bars"": 20}",1129,0.3012,-57257.14,275.86,-194.65,0.621,-2.7435,4.4102,59523.21
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.7, ""rr_ratio"": 3.0, ""hold_bars"": 15}",5113,0.3119,-164242.96,305.39,-188.09,0.748,-2.3918,4.3125,167321.09
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.5, ""rr_ratio"": 2.0, ""hold_bars"": 20}",1129,0.318,-57878.57,249.92,-194.98,0.608,-2.9855,4.1372,60555.36
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.7, ""rr_ratio"": 2.5, ""hold_bars"": 15}",8778,0.3272,-285058.83,295.94,-194.72,0.749,-3.0341,3.8076,288331.35
Enhanced_ORB,ES,5m,"{""orb_bars"": 5, ""vol_mult"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 8}",28178,0.4093,-722593.75,334.89,-277.17,0.842,-3.4624,3.7628,724156.25
Enhanced_ORB,ES,5m,"{""orb_bars"": 3, ""vol_mult"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 20}",35666,0.3978,-980612.5,370.29,-291.04,0.843,-3.8625,3.6818,981962.5
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 4, ""compress_ratio"": 0.5, ""rr_ratio"": 3.0, ""hold_bars"": 10}",1839,0.3377,-77612.5,230.13,-186.73,0.648,-2.7713,3.5989,82416.07
Range_Contraction_Breakout,ES,5m,"{""compress_bars"": 6, ""compress_ratio"": 0.7, ""rr_ratio"": 2.0, ""hold_bars"": 15}",5113,0.3411,-170794.75,262.73,-189.57,0.728,-2.8625,3.4754,173647.87
VWAP_Reclaim,ES,5m,"{""vol_multiplier"": 1.2, ""rr_ratio"": 1.5, ""hold_bars"": 12}",818,0.3888,-36650.0,277.34,-252.21,0.706,-1.8331,3.4614,37325.0
VWAP_Reclaim,ES,5m,"{""vol_multiplier"": 1.0, ""rr_ratio"": 1.5, ""hold_bars"": 12}",818,0.3888,-36650.0,277.34,-252.21,0.706,-1.8331,3.4614,37325.0
